2023-11-09 10:29:58.123 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - Starting Project5Application using Java 17.0.7 on FULL8-013 with PID 16896 (D:\hk\project\solo\ChunjaeSoloProject5\build\classes\java\main started by db400tea in D:\hk\project\solo\ChunjaeSoloProject5)
2023-11-09 10:29:58.125 INFO  [restartedMain] [com.chunjae.project5.Project5Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-09 10:29:58.150 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-09 10:29:58.150 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-09 10:29:58.820 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-09 10:29:58.824 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-09 10:29:58.825 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-09 10:29:58.825 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-09 10:29:58.864 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-09 10:29:58.864 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 713 ms
2023-11-09 10:29:59.185 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@753e2fd5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ddd18d2, org.springframework.security.web.context.SecurityContextPersistenceFilter@e623f76, org.springframework.security.web.header.HeaderWriterFilter@556497c5, org.springframework.security.web.authentication.logout.LogoutFilter@3c738079, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@53ecd142, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c10268e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@43d38bc1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@316f9b0d, org.springframework.security.web.session.SessionManagementFilter@112a83af, org.springframework.security.web.access.ExceptionTranslationFilter@50939bc6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6b22b987]
2023-11-09 10:29:59.316 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
